megawatthours	BPAT	Demand	Day-ahead demand forecast	Net generation	Total interchange	CISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	CPLE	Demand	Day-ahead demand forecast	Net generation	Total interchange	ERCO	Demand	Day-ahead demand forecast	Net generation	Total interchange	FPL	Demand	Day-ahead demand forecast	Net generation	Total interchange	ISNE	Demand	Day-ahead demand forecast	Net generation	Total interchange	MISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	NYIS	Demand	Day-ahead demand forecast	Net generation	Total interchange	PACW	Demand	Day-ahead demand forecast	Net generation	Total interchange	PJM	Demand	Day-ahead demand forecast	Net generation	Total interchange	United States Lower 48 (region)	Demand	Day-ahead demand forecast	Net generation	Total interchange
17:00 EST 2/26/2021	NA	6938	6845	11466	9055	NA	19905	19286	17351	-1863	NA	7176	7293	6304	-872	NA	38640	38048	38621	-19	NA	17856	15664	17908	52	NA	13959	14310	11153	-2806	NA	71485	70603	68694	-3681	NA	17777	17435	14934	-2843	NA	2653	2741	1238	-1415	NA	93438	94758	97155	3721	NA	445518	436681	439413	-1071
18:00 EST 2/26/2021	NA	6857	6752	11322	9183	NA	20409	19838	19076	-1648	NA	7439	7640	6419	-1020	NA	38389	37862	38369	-20	NA	17404	15465	17500	96	NA	15190	15310	12854	-2336	NA	71808	71114	68962	-3489	NA	18504	18036	15231	-3273	NA	2605	2702	1108	-1497	NA	95288	97169	98815	3530	NA	450533	442138	444860	-1234
19:00 EST 2/26/2021	NA	6854	6742	11083	8975	NA	21295	20737	18322	-1741	NA	7716	8144	6565	-1151	NA	38391	37712	38342	-49	NA	16834	15367	16934	100	NA	15686	15850	13363	-2323	NA	72859	72792	69998	-3602	NA	19012	18489	15753	-3259	NA	2584	2693	1144	-1440	NA	97706	96371	101362	3659	NA	457360	448336	450102	-1351
20:00 EST 2/26/2021	NA	6989	6917	11971	10107	NA	22294	22040	15941	-4093	NA	7627	8164	6505	-1122	NA	39025	39189	38967	-58	NA	16365	14587	16426	61	NA	15289	15430	12730	-2559	NA	74310	74353	71276	-3931	NA	18749	18268	15664	-3085	NA	2625	2739	1168	-1457	NA	97610	94838	101185	3577	NA	461581	453181	452767	-1588
21:00 EST 2/26/2021	NA	7360	7283	12930	11109	NA	24363	23911	17259	-7152	NA	7499	8052	6421	-1078	NA	39069	39781	38955	-113	NA	15309	13655	15293	-16	NA	14707	14400	12413	-2294	NA	73376	73685	70696	-3767	NA	18240	17832	15596	-2644	NA	2767	2832	1601	-1166	NA	95532	92697	98382	2853	NA	458556	451387	452382	-898
22:00 EST 2/26/2021	NA	7603	7555	13241	11220	NA	26141	25758	17138	-7840	NA	7239	7789	6298	-941	NA	38342	39593	38379	37	NA	14303	12704	14259	-44	NA	14022	13780	11831	-2191	NA	71740	72222	69127	-3567	NA	17616	17253	15042	-2574	NA	2876	2915	1676	-1200	NA	92875	89377	95851	2979	NA	450788	443980	443941	-178
23:00 EST 2/26/2021	NA	7528	7488	13248	11234	NA	25853	25330	16832	-8140	NA	6896	7540	6064	-832	NA	37487	38745	37527	40	NA	13292	11718	13257	-35	NA	13173	13020	11313	-1860	NA	69440	70018	66903	-3479	NA	16793	16538	13971	-2822	NA	2829	2857	1768	-1061	NA	89630	85741	92645	3018	NA	435968	429020	429435	-235
00:00 EST 2/27/2021	NA	7410	7328	12533	10481	NA	25156	24514	16251	-7889	NA	6523	7127	5773	-750	NA	36221	38135	36261	40	NA	12231	10630	12320	89	NA	12364	12140	10580	-1784	NA	67019	67282	64457	-3286	NA	15949	15794	12968	-2981	NA	2754	2763	1996	-758	NA	86889	82366	90273	3388	NA	419550	412154	413143	-22
01:00 EST 2/27/2021	NA	7090	7070	12212	10100	NA	24287	23667	15160	-7540	NA	6222	6499	5556	-666	NA	34563	37525	34603	40	NA	11073	9799	11134	61	NA	11858	11780	9955	-1903	NA	64273	64402	61191	-3847	NA	15238	15056	12773	-2465	NA	2633	2633	2051	-582	NA	84189	79767	88025	3839	NA	402351	395943	396408	611
02:00 EST 2/27/2021	NA	6734	6751	11397	9457	NA	23215	22429	14141	-7563	NA	6038	6294	5551	-487	NA	33153	32638	33194	41	NA	10264	9253	10383	119	NA	11736	11440	9708	-2028	NA	62452	62415	59164	-3897	NA	14793	14616	12719	-2074	NA	2481	2486	2000	-481	NA	82146	78603	85748	3605	NA	388917	380239	383380	854
03:00 EST 2/27/2021	NA	6425	6456	10825	9009	NA	21908	21160	13696	-7246	NA	5931	6167	5545	-386	NA	32111	31559	32152	41	NA	9759	9350	9907	148	NA	11832	11270	9649	-2183	NA	61034	61244	57812	-3841	NA	14506	14332	12769	-1737	NA	2337	2372	1944	-393	NA	81173	78041	84813	3643	NA	379448	372727	374743	926
04:00 EST 2/27/2021	NA	6195	6177	9845	8210	NA	20978	20943	13535	-6213	NA	5898	6032	5523	-375	NA	31429	30851	31469	40	NA	9404	9102	9539	135	NA	11798	11210	9554	-2244	NA	60312	60659	56934	-3889	NA	14344	14160	12749	-1595	NA	2246	2278	1836	-410	NA	80361	78308	83886	3528	NA	373258	369226	367792	283
05:00 EST 2/27/2021	NA	6103	6267	9743	8163	NA	20277	20249	12830	-6010	NA	5991	6219	5561	-430	NA	31086	30593	31096	10	NA	9269	9078	9426	157	NA	11913	11340	9694	-2219	NA	59620	60646	55980	-4113	NA	14384	14174	12446	-1938	NA	2193	2233	1612	-581	NA	80402	79891	84246	3847	NA	370978	369940	364951	-69
06:00 EST 2/27/2021	NA	6082	6298	9582	8019	NA	19827	19818	12666	-6051	NA	6173	6452	5581	-592	NA	31112	30763	31112	NA	NA	9386	9368	9563	177	NA	11967	11690	10093	-1874	NA	60165	61460	56609	-4127	NA	14620	14400	13057	-1563	NA	2160	2208	1376	-784	NA	80919	82546	84579	3663	NA	373613	375645	368196	199
07:00 EST 2/27/2021	NA	6102	6367	9708	8044	NA	19679	19613	12614	-6080	NA	6451	6808	5575	-876	NA	31732	31452	31732	NA	NA	9834	9821	10046	212	NA	12317	12370	10643	-1674	NA	61667	63100	58568	-3679	NA	15093	14791	13087	-2006	NA	2178	2218	1177	-1001	NA	82816	85304	86087	3274	NA	382336	385909	376937	16
08:00 EST 2/27/2021	NA	6252	6546	9849	8002	NA	19889	19792	13232	-6178	NA	6680	6982	5627	-1053	NA	32904	32795	32904	NA	NA	10809	10959	10995	186	NA	13009	12960	11342	-1667	NA	63802	65375	60811	-3510	NA	15689	15314	13923	-1766	NA	2214	2272	1036	-1178	NA	85319	87460	88464	3148	NA	395581	399219	390455	-200
09:00 EST 2/27/2021	NA	6574	6855	10154	8169	NA	20588	20405	14510	-6225	NA	6860	7206	5819	-1041	NA	33936	33854	33936	NA	NA	12599	12594	12800	201	NA	13794	13830	12289	-1505	NA	65374	67166	62599	-3249	NA	16496	15931	14476	-2020	NA	2351	2379	1134	-1217	NA	88161	88335	91367	3209	NA	411455	412208	407089	205
10:00 EST 2/27/2021	NA	7035	7265	10841	8573	NA	21414	21172	14352	-6401	NA	6856	6733	6101	-755	NA	35324	35366	35324	NA	NA	14182	13939	14300	118	NA	14363	14340	12866	-1497	NA	66662	68438	64065	-3191	NA	17111	16315	15142	-1969	NA	2725	2504	1239	-1486	NA	89928	88094	92883	2959	NA	424956	420700	418900	-538
11:00 EST 2/27/2021	NA	7396	7635	11360	8374	NA	21148	21082	15798	-6037	NA	6655	6400	6715	60	NA	36549	36534	36549	NA	NA	15436	14831	15620	184	NA	14644	14600	12653	-1991	NA	67045	68697	64238	-3540	NA	17553	16522	15476	-2077	NA	2928	2663	1403	-1525	NA	89704	87148	92918	3217	NA	430045	423603	424968	-1299
12:00 EST 2/27/2021	NA	7478	7879	11237	8056	NA	20003	20164	16794	-3389	NA	6314	5966	7057	743	NA	37379	37379	37386	7	NA	16395	15144	16557	162	NA	14770	14620	12309	-2461	NA	66725	68280	63692	-3749	NA	17729	16568	15996	-1733	NA	2985	2791	1494	-1491	NA	87914	85577	91408	3497	NA	428347	421681	423356	-815
13:00 EST 2/27/2021	NA	7305	7807	10897	7619	NA	19019	18959	17792	-1800	NA	6012	5728	7054	1042	NA	38028	37693	38031	4	NA	17234	14962	17414	180	NA	14742	14470	12077	-2665	NA	65950	67465	62041	-4639	NA	17469	16520	15679	-1790	NA	2962	2810	1491	-1471	NA	85656	83840	90051	4399	NA	423707	416107	419693	-698
14:00 EST 2/27/2021	NA	7039	7540	10622	7729	NA	18422	17887	17339	-711	NA	5787	5493	6842	1055	NA	38231	37742	38236	5	NA	17749	14875	17864	115	NA	14539	14280	11703	-2836	NA	65206	66570	60873	-4785	NA	17109	16300	15383	-1726	NA	2764	2760	1086	-1678	NA	82929	82581	87344	4418	NA	416950	410179	411746	-685
15:00 EST 2/27/2021	NA	6771	7266	10176	7470	NA	17556	17154	16382	-327	NA	5619	5292	6640	1021	NA	38042	37701	38054	12	NA	18138	14956	18187	49	NA	14342	14060	11625	-2717	NA	64463	65788	59852	-5007	NA	16619	16152	14710	-1909	NA	2677	2668	930	-1747	NA	81026	82074	85518	4495	NA	410861	405984	405160	-761
16:00 EST 2/27/2021	NA	6591	6956	9837	7339	NA	17085	16703	16218	-527	NA	5534	5300	6308	774	NA	37630	37671	37676	46	NA	18240	15087	18245	5	NA	14190	14070	11698	-2492	NA	63687	65333	59066	-5298	NA	16272	16126	14265	-2007	NA	2663	2587	889	-1774	NA	79947	83258	84442	4498	NA	406228	404630	400799	-1212
17:00 EST 2/27/2021	NA	6452	6698	9595	7270	NA	17109	16746	16768	-590	NA	5609	5392	5954	345	NA	37221	37637	37324	103	NA	18140	15132	17732	-408	NA	14230	14370	11799	-2431	NA	63932	65430	59571	-5216	NA	16491	16363	14566	-1925	NA	2566	2499	891	-1675	NA	80348	86603	84851	4506	NA	406161	408065	401367	-1449
18:00 EST 2/27/2021	NA	6302	6547	9801	7379	NA	17636	17280	18210	-295	NA	5730	5640	5339	-391	NA	37099	37657	37225	127	NA	17637	14978	17205	-432	NA	14771	14710	11922	-2849	NA	64885	66109	61270	-4502	NA	17137	16789	15403	-1734	NA	2312	2443	919	-1393	NA	82121	89138	86319	4201	NA	410920	413628	407090	-1382
19:00 EST 2/27/2021	NA	6306	6504	9793	7613	NA	18826	18386	17454	-91	NA	6100	5907	5221	-879	NA	37300	38201	37452	152	NA	17008	15250	16613	-395	NA	15019	14960	11989	-3030	NA	66576	67772	63870	-3644	NA	17880	17335	15838	-2042	NA	2305	2444	959	-1346	NA	86280	88626	90512	4235	NA	421640	420607	416072	-1666
20:00 EST 2/27/2021	NA	6451	6671	10427	8665	NA	20445	20030	15185	-3008	NA	6142	5945	5301	-841	NA	37961	38939	38112	151	NA	16469	14898	16147	-322	NA	14518	14590	11538	-2980	NA	68925	69436	66370	-3571	NA	17650	17190	15776	-1874	NA	2374	2553	1208	-1166	NA	87234	87056	91360	4129	NA	429235	425115	422970	-31
21:00 EST 2/27/2021	NA	6790	7026	12209	10361	NA	22827	22389	16767	-6138	NA	6026	5960	5328	-698	NA	38223	38549	38349	126	NA	15421	14145	15524	103	NA	13953	14040	11081	-2872	NA	68387	68819	66033	-3555	NA	17195	16770	15466	-1729	NA	2518	2713	1428	-1090	NA	86110	84717	89944	3837	NA	428939	423492	425430	529
22:00 EST 2/27/2021	NA	6994	7283	12483	10161	NA	24729	24461	16994	-6643	NA	5706	5759	5340	-366	NA	37547	37687	37649	102	NA	14551	13401	14582	31	NA	13305	13330	10542	-2763	NA	67032	67581	64768	-3333	NA	16674	16227	15155	-1519	NA	2655	2814	1533	-1122	NA	84204	81765	87768	3567	NA	422890	416481	418566	816
23:00 EST 2/27/2021	NA	6928	7251	12391	10043	NA	24552	24333	16496	-7045	NA	5530	5473	5276	-254	NA	36558	36735	36679	121	NA	13565	12419	13578	13	NA	12552	12570	9898	-2654	NA	65075	65715	62361	-3818	NA	15950	15586	14386	-1564	NA	2634	2766	1796	-838	NA	81545	78534	85336	3794	NA	409539	402920	405264	678
00:00 EST 2/28/2021	NA	6812	7113	11885	9489	NA	23988	23697	15776	-6927	NA	5248	4976	5227	-21	NA	35285	35205	35360	76	NA	12444	11407	12480	36	NA	11830	11910	9238	-2592	NA	62884	63303	60323	-3639	NA	15253	14943	13666	-1587	NA	2582	2670	2098	-484	NA	79754	75535	83213	3462	NA	395082	387348	390383	392
01:00 EST 2/28/2021	NA	6587	6874	11440	9281	NA	23386	22863	14472	-7211	NA	5008	4747	5275	267	NA	33720	33455	33914	193	NA	11380	10429	11356	-24	NA	11504	11210	9459	-2045	NA	61202	61491	58358	-3958	NA	14629	14469	12516	-2113	NA	2509	2578	2230	-279	NA	77766	74605	81198	3435	NA	380272	373877	374989	184
